sma_short,sma_long,Sharpe,MaxDrawdown,AnnReturn,Volatility,win_rate,loss_rate,avg_win,avg_loss,total_trades
20,80,3.333158078138701,-0.10182104842299017,5989.265124239945,0.32124303545352223,0.94,0.06,54.29206184710943,-10.867389048729905,50
15,80,1.8552150429759093,-0.08088928128918337,3753.831518776077,0.31512882999177794,1.0,0.0,50.7046264790772,0.0,50
10,40,1.8201964383742286,-0.1599807986714756,70.53743760793722,0.32548579313131737,0.9,0.1,50.08569041267192,-11.680770954887755,50
30,60,1.7852345682222355,-0.09538852066958123,2568.1735259590773,0.3294018998859218,0.96,0.04,52.968451391505276,-17.590635178084856,50
15,60,1.655296030774614,-0.1297198694210588,911.7390852167475,0.32940707189248714,0.96,0.04,52.28728473200709,-0.2901945265607573,50
5,40,1.6210714923653509,-0.17472785375719538,42.87344363154297,0.31601977659681624,0.9,0.1,61.214134653514115,-12.05731330687918,50
10,60,1.3999401542557295,-0.12433865820452607,188.37004530334048,0.3057357677700737,0.96,0.04,48.31962748729777,-19.044693444154667,50
25,60,1.323993532172858,-0.14091333635231518,1348.8981798380007,0.2986214155078074,0.96,0.04,49.345393029231865,-31.263334978239996,50
10,80,1.2931508056482877,-0.08048919376156093,760.0960151897357,0.30522837426610583,0.94,0.06,57.840877024219246,-27.889489904822785,50
25,40,1.2223845273436633,-0.09727991147609426,575.1939555141399,0.319579794669172,0.96,0.04,56.26285544449953,-35.33679192300366,50
